iter	Passed	Remaining
452	1043	1259
453	1044	1256
454	1046	1253
455	1052	1256
456	1054	1253
457	1056	1250
458	1058	1247
459	1066	1251
460	1069	1250
461	1071	1247
462	1075	1247
463	1077	1245
464	1086	1249
465	1088	1247
466	1090	1244
467	1093	1242
468	1099	1244
469	1100	1241
470	1103	1239
471	1106	1237
472	1108	1234
473	1114	1236
474	1119	1236
475	1121	1234
476	1123	1232
477	1127	1231
478	1130	1229
479	1132	1226
480	1134	1224
481	1136	1221
482	1137	1218
483	1144	1219
484	1147	1218
485	1149	1215
486	1151	1213
487	1153	1210
488	1159	1211
489	1161	1208
490	1165	1208
491	1168	1205
492	1175	1209
493	1178	1206
494	1180	1203
495	1184	1203
496	1186	1200
497	1188	1198
498	1196	1201
499	1198	1198
500	1200	1195
501	1202	1192
502	1205	1191
503	1207	1188
504	1210	1186
505	1213	1184
506	1215	1181
507	1217	1178
508	1220	1177
509	1223	1175
510	1225	1172
511	1227	1170
512	1230	1167
513	1232	1165
514	1235	1163
515	1237	1161
516	1239	1158
517	1241	1155
518	1243	1152
519	1246	1150
520	1251	1150
521	1253	1147
522	1254	1144
523	1257	1142
524	1260	1140
525	1267	1142
526	1271	1140
527	1272	1137
528	1274	1135
529	1282	1137
530	1287	1136
531	1289	1134
532	1293	1133
533	1295	1130
534	1297	1127
535	1298	1124
536	1300	1121
537	1305	1120
538	1310	1120
539	1313	1118
540	1314	1115
541	1316	1112
542	1319	1110
543	1329	1114
544	1331	1111
545	1332	1108
546	1334	1105
547	1339	1104
548	1341	1102
549	1343	1099
550	1344	1095
551	1346	1092
552	1349	1090
553	1351	1087
554	1355	1086
555	1357	1083
556	1358	1080
557	1360	1077
558	1362	1074
559	1364	1071
560	1369	1071
561	1372	1069
562	1373	1066
563	1375	1063
564	1377	1060
565	1379	1057
566	1380	1054
567	1382	1051
568	1385	1049
569	1389	1047
570	1391	1045
571	1392	1042
572	1394	1038
573	1395	1035
574	1397	1032
575	1401	1031
576	1403	1028
577	1404	1025
578	1406	1022
579	1407	1019
580	1409	1016
581	1411	1013
582	1412	1010
583	1416	1009
584	1422	1008
585	1424	1006
586	1425	1003
587	1427	999
588	1428	996
589	1430	993
590	1432	991
591	1436	989
592	1437	986
593	1439	983
594	1440	980
595	1442	977
596	1444	974
597	1446	972
598	1448	969
599	1450	967
600	1451	963
601	1453	961
602	1455	958
603	1459	957
604	1461	954
605	1464	952
606	1468	950
607	1469	947
608	1475	947
609	1477	944
610	1479	941
611	1480	938
612	1482	936
613	1484	933
614	1486	930
615	1490	929
616	1491	926
617	1493	923
618	1495	920
619	1499	919
620	1501	916
621	1504	914
622	1506	911
623	1508	909
624	1511	906
625	1512	903
626	1516	902
627	1519	899
628	1521	897
629	1522	894
630	1524	891
631	1525	888
632	1527	885
633	1529	882
634	1532	880
635	1534	878
636	1537	876
637	1545	877
638	1550	876
639	1556	875
640	1558	872
641	1561	870
642	1563	868
643	1566	865
644	1569	863
645	1571	861
646	1573	858
647	1576	856
648	1580	854
649	1583	852
650	1586	850
651	1589	848
652	1596	848
653	1598	845
654	1601	843
655	1603	840
656	1608	839
657	1611	837
658	1613	835
659	1615	832
660	1619	830
661	1623	828
662	1627	827
663	1629	824
664	1632	822
665	1634	819
666	1639	818
667	1642	816
668	1644	813
669	1646	810
670	1648	808
671	1650	805
672	1655	804
673	1657	801
674	1659	799
675	1662	796
676	1664	794
677	1669	792
678	1672	790
679	1675	788
680	1677	785
681	1679	782
682	1685	782
683	1688	779
684	1690	777
685	1692	774
686	1695	772
687	1700	771
688	1703	768
689	1705	766
690	1708	764
691	1713	762
692	1716	760
693	1719	757
694	1722	755
695	1724	753
696	1728	751
697	1731	749
698	1733	746
699	1735	743
700	1737	740
701	1738	738
702	1740	735
703	1745	733
704	1748	731
705	1751	729
706	1752	726
707	1754	723
708	1759	722
709	1761	719
710	1764	717
711	1766	714
712	1768	712
713	1770	709
714	1775	707
715	1777	704
716	1779	702
717	1781	699
718	1783	696
719	1785	694
720	1789	692
721	1792	690
722	1794	687
723	1796	684
724	1798	682
725	1802	680
726	1806	678
727	1808	675
728	1810	673
729	1812	670
730	1814	667
731	1816	664
732	1818	662
733	1820	659
734	1823	657
735	1825	654
736	1827	652
737	1829	649
738	1833	647
739	1835	644
740	1837	642
741	1839	639
742	1841	637
743	1843	634
744	1847	632
745	1849	629
746	1851	627
747	1854	624
748	1856	622
749	1859	619
750	1862	617
751	1864	615
752	1866	612
753	1868	609
754	1870	606
755	1872	604
756	1873	601
757	1878	599
758	1880	597
759	1887	595
760	1889	593
761	1893	591
762	1896	588
763	1897	586
764	1899	583
765	1901	580
766	1903	578
767	1907	576
768	1910	574
769	1916	572
770	1917	569
771	1920	567
772	1926	565
773	1928	563
774	1929	560
775	1931	557
776	1933	554
777	1935	552
778	1938	549
779	1977	557
780	1981	555
781	1983	552
782	1987	550
783	1990	548
784	1992	545
785	1994	543
786	1996	540
787	1998	537
788	2002	535
789	2004	532
790	2027	535
791	2029	533
792	2036	531
793	2038	528
794	2041	526
795	2042	523
796	2045	520
797	2051	519
798	2054	516
799	2056	514
800	2059	511
801	2061	508
802	2065	506
803	2067	504
804	2068	501
805	2070	498
806	2081	497
807	2083	495
808	2085	492
809	2087	489
810	2090	487
811	2092	484
812	2096	482
813	2098	479
814	2100	476
815	2101	473
816	2103	471
817	2106	468
818	2110	466
819	2112	463
820	2114	461
821	2116	458
822	2118	455
823	2120	452
824	2122	450
825	2126	448
826	2129	445
827	2131	442
828	2133	440
829	2135	437
830	2137	434
831	2141	432
832	2142	429
833	2145	426
834	2146	424
835	2148	421
836	2150	418
837	2151	415
838	2154	413
839	2156	410
840	2158	408
841	2160	405
842	2161	402
843	2163	399
844	2165	397
845	2166	394
846	2171	392
847	2172	389
848	2174	386
849	2176	384
850	2177	381
851	2179	378
852	2181	375
853	2183	373
854	2185	370
855	2187	367
856	2189	365
857	2192	362
858	2194	360
859	2196	357
860	2199	355
861	2201	352
862	2203	349
863	2205	347
864	2206	344
865	2208	341
866	2212	339
867	2215	336
868	2216	334
869	2218	331
870	2220	328
871	2221	326
872	2223	323
873	2225	320
874	2230	318
875	2231	315
876	2233	313
877	2235	310
878	2244	309
879	2247	306
880	2248	303
881	2250	301
882	2252	298
883	2254	295
884	2256	293
885	2259	290
886	2264	288
887	2266	285
888	2267	283
889	2269	280
890	2271	277
891	2274	275
892	2275	272
893	2280	270
894	2282	267
895	2284	265
896	2285	262
897	2288	259
898	2289	257
899	2293	254
900	2295	252
901	2297	249
902	2298	246
903	2300	244
904	2301	241
905	2305	239
906	2307	236
907	2309	234
908	2311	231
909	2313	228
910	2314	226
911	2319	223
912	2321	221
913	2322	218
914	2324	215
915	2326	213
916	2327	210
917	2330	208
918	2333	205
919	2336	203
920	2338	200
921	2340	198
922	2342	195
923	2344	192
924	2347	190
925	2350	187
926	2352	185
927	2353	182
928	2355	180
929	2357	177
930	2359	174
931	2361	172
932	2363	169
933	2365	167
934	2367	164
935	2369	162
936	2371	159
937	2372	156
938	2374	154
939	2376	151
940	2378	149
941	2380	146
942	2381	143
943	2383	141
944	2384	138
945	2386	136
946	2387	133
947	2389	131
948	2392	128
949	2393	125
950	2395	123
951	2397	120
952	2398	118
953	2400	115
954	2402	113
955	2404	110
956	2407	108
957	2409	105
958	2411	103
959	2413	100
960	2414	98
961	2416	95
962	2418	92
963	2420	90
964	2421	87
965	2424	85
966	2426	82
967	2429	80
968	2431	77
969	2433	75
970	2435	72
971	2437	70
972	2438	67
973	2441	65
974	2444	62
975	2445	60
976	2447	57
977	2450	55
978	2452	52
979	2453	50
980	2455	47
981	2457	45
982	2460	42
983	2462	40
984	2465	37
985	2467	35
986	2469	32
987	2470	30
988	2472	27
989	2475	25
990	2480	22
991	2482	20
992	2483	17
993	2485	15
994	2487	12
995	2489	9
996	2492	7
997	2495	5
998	2497	2
999	2498	0
